City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,9.79,92,93,2.32,AR,1679758521
1,torbay,47.6666,-52.7314,1.05,96,100,16.99,CA,1679758552
2,purpe,64.4803,76.6897,-3.55,94,100,4.13,RU,1679758552
3,bethel,41.3712,-73.414,5.67,79,100,6.17,US,1679758552
4,victoria,22.2855,114.1577,21.81,95,99,0.45,HK,1679758266
5,nikolskoye,59.7035,30.7861,2.94,84,100,4.77,RU,1679758552
6,upernavik,72.7868,-56.1549,-23.12,80,23,1.46,GL,1679758552
7,mahuva,21.0914,71.7622,25.24,49,1,5.43,IN,1679758553
8,ribeira grande,38.5167,-28.7,15.43,82,75,8.05,PT,1679758553
9,tarabuco,-19.1667,-64.9167,14.82,59,66,2.93,BO,1679758553
10,maniitsoq,65.4167,-52.9,-10.37,75,41,2.06,GL,1679758553
11,balotra,25.8333,72.2333,27.43,25,10,3.7,IN,1679758553
12,vaini,-21.2,-175.2,26.09,94,75,3.6,TO,1679758553
13,vestmannaeyjar,63.4427,-20.2734,3.55,52,100,4.63,IS,1679758553
14,mataura,-46.1927,168.8643,14.15,77,99,1.98,NZ,1679758554
15,puerto escondido,15.85,-97.0667,28.46,78,0,1.54,MX,1679758554
16,mount isa,-20.7333,139.5,20.87,78,0,0.0,AU,1679758554
17,khatanga,71.9667,102.5,-14.94,93,100,6.19,RU,1679758554
18,banepa,27.6298,85.5214,17.29,67,20,1.54,NP,1679758554
19,pak phanang,8.3511,100.202,27.01,76,1,2.85,TH,1679758554
20,hilo,19.7297,-155.09,22.38,82,40,3.09,US,1679758554
21,cidreira,-30.1811,-50.2056,26.01,71,67,7.16,BR,1679758554
22,bolshaya rechka,51.9503,104.7355,-0.85,90,100,0.39,RU,1679758555
23,saskylakh,71.9167,114.0833,-17.06,95,97,3.3,RU,1679758555
24,coahuayana,18.7333,-103.6833,28.54,46,100,1.93,MX,1679758555
25,riyadh,24.6877,46.7219,29.08,17,79,8.05,SA,1679758424
26,ilo,-17.6394,-71.3375,25.48,65,0,3.09,PE,1679758555
27,georgetown,5.4112,100.3354,26.96,94,40,0.51,MY,1679758300
28,mar del plata,-38.0023,-57.5575,26.57,78,40,2.57,AR,1679758268
29,klaksvik,62.2266,-6.589,0.51,65,100,9.73,FO,1679758556
30,deputatskiy,69.3,139.9,-18.58,96,100,1.67,RU,1679758556
31,hermanus,-34.4187,19.2345,18.22,88,61,7.66,ZA,1679758556
32,busselton,-33.65,115.3333,18.63,78,96,6.34,AU,1679758556
33,albany,42.6001,-73.9662,3.35,84,100,1.34,US,1679758556
34,los llanos de aridane,28.6585,-17.9182,20.86,73,0,5.14,ES,1679758556
35,choix,26.7092,-108.3219,23.45,10,2,0.74,MX,1679758556
36,arraial do cabo,-22.9661,-42.0278,29.98,78,20,6.69,BR,1679758556
37,fuyu,45.1833,124.8167,-2.35,41,34,1.0,CN,1679758557
38,ixtapa,20.7,-105.2,19.57,68,20,3.09,MX,1679758557
39,dingle,10.9995,122.6711,25.1,86,37,3.47,PH,1679758557
40,qovlar,40.948,45.735,15.06,50,94,2.18,AZ,1679758557
41,butaritari,3.0707,172.7902,26.87,82,50,6.94,KI,1679758557
42,kapaa,22.0752,-159.319,24.18,90,75,4.63,US,1679758557
43,fort nelson,58.8053,-122.7002,-1.7,95,75,1.03,CA,1679758557
44,nome,64.5011,-165.4064,-13.96,85,100,10.8,US,1679758557
45,punta arenas,-53.15,-70.9167,11.06,54,40,14.92,CL,1679758558
46,riachao,-7.3619,-46.6172,29.25,59,51,2.4,BR,1679758558
47,huarmey,-10.0681,-78.1522,25.66,71,100,3.53,PE,1679758558
48,atbasar,51.8,68.3333,1.15,100,100,3.53,KZ,1679758558
49,bluff,-46.6,168.3333,14.33,66,99,11.64,NZ,1679758558
50,port alfred,-33.5906,26.891,20.66,84,79,0.89,ZA,1679758558
51,chokurdakh,70.6333,147.9167,-34.57,100,10,1.43,RU,1679758558
52,saint-avertin,47.3636,0.7399,13.1,68,75,7.72,FR,1679758558
53,bambous virieux,-20.3428,57.7575,27.14,78,75,1.54,MU,1679758559
54,maceio,-9.6658,-35.7353,31.69,62,75,4.63,BR,1679758512
55,dikson,73.5069,80.5464,-20.25,99,100,3.43,RU,1679758559
56,east london,-33.0153,27.9116,20.52,83,0,4.12,ZA,1679758559
57,galesong,-5.3166,119.3661,24.01,83,100,1.21,ID,1679758559
58,sabha,27.0377,14.4283,23.97,14,0,4.1,LY,1679758559
59,san cristobal,7.7669,-72.225,18.1,33,86,3.15,VE,1679758559
60,rikitea,-23.1203,-134.9692,24.45,86,100,4.6,PF,1679758559
61,pacific grove,36.6177,-121.9166,8.01,80,20,5.81,US,1679758559
62,sinegorye,62.0788,150.477,-28.87,71,1,2.22,RU,1679758560
63,aksarayskiy,46.7924,48.0119,17.7,30,2,4.37,RU,1679758560
64,hobart,-42.8794,147.3294,11.14,85,75,3.6,AU,1679758560
65,mweka,-4.85,21.5667,22.85,93,96,0.55,CD,1679758560
66,ancud,-41.8697,-73.8203,13.53,53,0,2.0,CL,1679758560
67,jamestown,42.097,-79.2353,8.17,95,100,9.77,US,1679758560
68,saint-philippe,-21.3585,55.7679,25.77,85,64,3.69,RE,1679758560
69,salalah,17.0151,54.0924,27.05,78,20,2.57,OM,1679758561
70,atuona,-9.8,-139.0333,26.93,75,7,6.62,PF,1679758561
71,katsuura,35.1333,140.3,14.27,83,100,5.37,JP,1679758561
